"8.","Kurt Randolph","https://athletes.aidainternational.org/Profile-a27429d3-8649-42fc-9add-31ea07933e6a","(United States)","448.2","75.2","90.5","-","69.5","77","-","66","70"
"9.","Michel Filinis2","https://athletes.aidainternational.org/Profile-e5b81614-077e-4c70-b48d-077124d2843d","(Brazil)","447.2","61.2","62","51","43","64","49","53","64"
"10.","Stavros Kastrinakis","https://athletes.aidainternational.org/Profile-ca7a2d6a-8d19-4665-85cd-f990e1ad08f5","(Greece)","446.6","81.6","81","-","57","87","-","55","85"
"11.","Jonas Krahn","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000372","(Germany)","445.5","82","94.5","-","75","70","-","53","71"
"12.","Christian Ernest","https://athletes.aidainternational.org/Profile-86d56f01-913e-4312-be9e-119ff82f7738","(Sweden)","443.4","84.4","79.5","-","78.5","62","72","67","-"
"13.","Jonathan Sunnex","https://athletes.aidainternational.org/Profile-441d61d8-1d9d-4cbe-af58-87821cb2c94f","(New Zealand)","442.9","67.4","-20","-","54.5","105","70","65","101"
"14.","Frederic Sessa","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000a6d","(France)","442.4","85.4","127.5","-","103.5","65","-","61","-"
"15.","Antonio  Del Duca","https://athletes.aidainternational.org/Profile-35880da1-ff80-4532-a04d-95ce222c707a","(Venezuela)","441.2","74.2","112","-","78","62","-","55","60"
"16.","Božidar Petani","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000008ec","(Croatia)","440.8","86.8","80","-","63","92","-","46","73"
"17.","Estrella Navarro","https://athletes.aidainternational.org/Profile-81c51ec4-4d31-4191-aaec-abd6aa020a37","(Mexico)","440","64","74.5","-","53.5","73","60","43","72"
"18.","Valdemar Karlsson","https://athletes.aidainternational.org/Profile-a1f957b8-6bb9-428c-b7bc-c014314acd1c","(Sweden)","439.4","108.4","106.5","88","87.5","25","-","10","14"
"19.","Berger Pascal","https://athletes.aidainternational.org/Profile-16763b2f-19a7-4388-8999-3c4409db3ee5","(Switzerland)","437.6","73.6","78","-","54","82","-","67","83"
"20.","Pete Botman","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000b1b","(Netherlands)","437.6","85.6","61","-","-","83","65","63","80"
"1.","Jan Honysch","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000389","(Czech Republic)","437.2","73.2","100","-","54","85","-","55","70"
"2.","Jonérik Ekström","https://athletes.aidainternational.org/Profile-5fc032b9-31cb-40a7-b78d-8eacb9d55b84","(Finland)","435.9","79.4","105","-","76.5","65","-","41","69"
"3.","Adrian Gjurasic","https://athletes.aidainternational.org/Profile-77d45def-9ff4-4412-97e8-501c8e9d6a64","(United States)","435.7","75.2","-","79","59.5","60","54","54","54"
"4.","Tatiana Zemskikh","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000ef3","(Russian Federation)","434.1","66.6","102.5","-","76","73","-","51","65"
"5.","Ashley Chapman","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000c56","(United States)","433.8","65.8","80","-","53","84","-","67","84"
"6.","Per Westin","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000005bb","(Sweden)","433.6","84.6","101","-","55","90","-","30","73"
"7.","Jean-Pol Francois","https://athletes.aidainternational.org/Profile-4eb7e61c-42ba-4e0a-9211-3e0b6b3d9aca","(Belgium)","433.5","94","88","-","64.5","77","-","45","65"
"8.","Karla Mendez","https://athletes.aidainternational.org/Profile-ce16d98d-46ce-4b0c-b07f-d10a3cbbf240","(Venezuela)","433.2","68.2","80","59","60","61","-","44","61"
"9.","Gert Leroy","https://athletes.aidainternational.org/Profile-8d9c88ab-c5f9-4e76-a6aa-074c9d194623","(Belgium)","433.2","66.2","66.5","54","52.5","-","68","56","70"
"10.","Olga Markina","https://athletes.aidainternational.org/Profile-4d1dba7f-3d44-4e0f-9492-7e7a4bcf4bea","(Russian Federation)","433","69","83","73.5","44.5","80","-","32","51"
"11.","David Mellor","https://athletes.aidainternational.org/Profile-b7dacbd1-358f-4524-adef-8f400edc4b39","(United Kingdom)","431.1","69.6","67.5","-","50","66","62","53","63"
"12.","Mindaugas Kreivenas","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000017f6","(International)","430.6","64.6","71","-","56","95","-","53","91"
"13.","Tomoka Fukuda","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000f90","(Japan)","429.8","77.8","79","-","42","100","-","50","81"
"14.","Manolis Giankos","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000005e","(Greece)","429.5","82","101.5","-","-","100","-","60","86"
"15.","Brandon Hendrickson","https://athletes.aidainternational.org/Profile-02bd1772-bc0b-4dcd-9d3a-b092f3817b69","(United States)","429","103","62.5","-","37.5","87","-","47","92"
"16.","Weine Gustavsson","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000001ff","(Sweden)","428.1","90.6","106","-","63.5","72","-","36","60"
"17.","Anthony Williams","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000357","(New Zealand)","426.9","87.4","111.5","-","78","100","-","-","50"
"18.","Igor Liberti","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000230","(Switzerland)","426.5","82","62","-","58.5","80","-","62","82"
"19.","Nicolas Guerry","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000036c","(Switzerland)","423.1","96.6","88.5","-","58","70","-","53","57"
"20.","","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000f1e","","422.9","77.4","92.5","-","77","59","-","56","61"
