"RMC Wiesbaden AIDA Competition","https://events.aidainternational.org/EventDetails-2744","Pool Competition","Hallenbad Kleinfeldchen","Wiesbaden, Germany","2020-09-26","2020-09-26","Register Now","EventRegistration-417"
"AIDA BASSAM ARABIAN FREEDIVING DEPTH CHAMPIONSHIP 2020","https://events.aidainternational.org/EventDetails-2696","Depth Competition","Aqua Marina","Dahab, Egypt","2020-09-17","2020-09-23","Register Now","EventRegistration-338"
"AIDA ISRAELI STA MINI-COMP 2020","https://events.aidainternational.org/EventDetails-2765","Pool Competition","Israeli Sta Mini-Comp 2020","Eilat, Israel","2020-09-12","2020-09-12","Register Now","EventRegistration-433"
"AIDA ADRIATIC DEPTH TROPHY - Croatian, Slovenian, Serbian and Hungarian OPEN National Championship","https://events.aidainternational.org/EventDetails-2737","Depth Competition","Krk Port","Krk, Croatia","2020-09-05","2020-09-12","Register Now","EventRegistration-380"
"Aida Judge E full course Kaohsiung City Taiwan","https://events.aidainternational.org/EventDetails-2694","Judge Course","Deepsoul Hostel 92","Kaohsiung City, Taiwan","2020-09-04","2020-09-06","",""
"AIDA Fun Freediving Competition 2020","https://events.aidainternational.org/EventDetails-2761","Depth Competition","Sokolovsky Quarry","Zhytomyr, Ukraine","2020-08-21","2020-08-23","Register Now","EventRegistration-430"
"AIDA Polish Depth Championship","https://events.aidainternational.org/EventDetails-2759","Depth Competition","Lake Hancza","Mierkinie, Poland","2020-08-19","2020-08-22","Register Now","EventRegistration-431"
"AIDA One Freedive Club City League, Shanghai Jul. 2019","https://events.aidainternational.org/EventDetails-2763","Pool Competition","杭州市城北体育公园游泳馆","Hangzhou, China","2020-07-25","2020-07-25","Register Now","EventRegistration-434"
"AIDA Lazurnaya Glubina 2020","https://events.aidainternational.org/EventDetails-2709","Depth Competition","Lazurny Quarry","Nizhny Tagil, Russian Federation","2020-07-17","2020-07-19","Register Now","EventRegistration-349"
"AIDA Croatia team tryout","https://events.aidainternational.org/EventDetails-2768","Pool Competition","Bazeni Kantrida","Rijeka, Croatia","2020-07-14","2020-07-14","Register Now","EventRegistration-438"
"AIDA Ocean club competition Rijeka","https://events.aidainternational.org/EventDetails-2767","Pool Competition","Bazeni Kantrida","Rijeka, Croatia","2020-07-14","2020-07-14","Register Now","EventRegistration-436"
"Warlus Dive AIDA Mini Comp","https://events.aidainternational.org/EventDetails-2760","Pool Competition","Submarine Swimming Pool","Yongin Si, Kyoung-Gi Do, Republic of Korea","2020-07-12","2020-07-12","Register Now","EventRegistration-432"
"Moalboal Mini Static AIDA Competition","https://events.aidainternational.org/EventDetails-2764","Pool Competition","Freediving Planet","Moalboal - Cebu, Philippines","2020-07-10","2020-07-10","Register Now","EventRegistration-437"
"AIDA Post Quarantine Static Competition 2","https://events.aidainternational.org/EventDetails-2757","Pool Competition","Almira Diving Resort","Panglao, Philippines","2020-07-02","2020-07-03","Register Now","EventRegistration-429"
"AIDA Lunby outdoor mini challenge 2020","https://events.aidainternational.org/EventDetails-2758","Pool Competition","Lundbybadet","Gothenburg, Sweden","2020-06-18","2020-06-18","Registration Closed","EventRegistration-427"
"POSTPONED AIDA UAE Freediving Pool Competition 2020","https://events.aidainternational.org/EventDetails-2738","Pool Competition","Hamdan Sports Complex","Dubai, United Arab Emirates","2020-06-12","2020-06-13","Registration Closed","EventRegistration-381"
"AIDA mini PRC Blue Summer Cup 2020","https://events.aidainternational.org/EventDetails-2755","Pool Competition","Taoyuan City Swimming Pool","Taoyuan City, Taiwan","2020-06-07","2020-06-07","Registration Closed","EventRegistration-426"
"AIDA SuperHOME Quarantine Staff Competition 2020","https://events.aidainternational.org/EventDetails-2751","Pool Competition","Freedive Superhome","Panglao, Bohol, Philippines","2020-04-17","2020-04-19","Registration Closed","EventRegistration-396"
"Test WF","https://events.aidainternational.org/EventDetails-2749","Mixed Competition","Test","Test, Romania","2020-04-03","2020-04-03","Registration Closed","EventRegistration-392"
"Sweden Nationals 2020 Judge CE Course","https://events.aidainternational.org/EventDetails-2728","Continuous Education Course","Nolhaga Parkbad","Alingsås, Sweden","2020-03-28","2020-03-28","",""
"AIDA Coupe du NUC","https://events.aidainternational.org/EventDetails-2644","Pool Competition","Piscine Universitaire Fielding","Nice, France","2020-03-14","2020-03-14","Registration Closed","EventRegistration-322"
"AIDA Freediving New Zealand Depth Nationals 2020","https://events.aidainternational.org/EventDetails-2717","Depth Competition","Lake Taupo (Motutere, Lake District)","Taupo, New Zealand","2020-03-13","2020-03-15","Registration Closed","EventRegistration-356"
"AIDA Blue Immersion STA Mini Comp","https://events.aidainternational.org/EventDetails-2715","Pool Competition","Ac Pool","Koh Tao, Thailand","2020-03-13","2020-03-13","Registration Closed","EventRegistration-357"
"AIDA Russian Open pool Championship 2020 in honor of Natalia Molchanova","https://events.aidainternational.org/EventDetails-2729","Pool Competition","Mocws","Moscow, Russian Federation","2020-03-12","2020-03-15","Registration Closed","EventRegistration-373"
"AIDA South Australian Freedive Challenge","https://events.aidainternational.org/EventDetails-2704","Pool Competition","Westminster School","Adelaide, Australia","2020-03-06","2020-03-08","Registration Closed","EventRegistration-354"
"AIDA Rijeka mini cup","https://events.aidainternational.org/EventDetails-2721","Pool Competition","Bazeni Kantrida","Rijeka, Croatia","2020-03-05","2020-03-05","Registration Closed","EventRegistration-362"
"March Dahab Judge course 2020","https://events.aidainternational.org/EventDetails-2731","Judge Course","Dahab","Dahab, Egypt","2020-03-02","2020-03-04","",""
"AIDA MINSK FREEDIVING WEEKEND (DYN/DYNB)","https://events.aidainternational.org/EventDetails-2701","Pool Competition","The Pool Of Physical Education University","Minsk, Belarus","2020-03-01","2020-03-01","Registration Closed","EventRegistration-345"
"AIDA Linköping Indoors Apnea 2020","https://events.aidainternational.org/EventDetails-2670","Pool Competition","Medley Linköpings Simhall","Linköping, Sweden","2020-02-23","2020-02-23","Registration Closed","EventRegistration-316"
"AIDA XX  Trofeu Cavalldemar","https://events.aidainternational.org/EventDetails-2695","Pool Competition","Cn Sabadell","Sabadell, Spain","2020-02-23","2020-02-23","Registration Closed","EventRegistration-341"
"AIDA RAONARA Indoor Competition 2020","https://events.aidainternational.org/EventDetails-2693","Pool Competition","Soeui Sports Center","Seoul, Republic of Korea","2020-02-23","2020-02-23","Registration Closed","EventRegistration-340"
"AIDA St. Petersburg Freediving Cup 2020","https://events.aidainternational.org/EventDetails-2618","Pool Competition","Msg Pool","Saint Petersburg, Russian Federation","2020-02-22","2020-02-24","Registration Closed","EventRegistration-276"
"AIDA OCEANOID  DYNAMIC FREEDIVING POOL COMPETITION - DYN 2020","https://events.aidainternational.org/EventDetails-2676","Pool Competition","Ubc Aquatic Centre","Vancouver, Canada","2020-02-21","2020-02-21","Registration Closed","EventRegistration-365"
"AIDA Smile Freedivig mini comp.","https://events.aidainternational.org/EventDetails-2710","Pool Competition","The Balance Swim","Yongin Si, Republic of Korea","2020-02-16","2020-02-16","Registration Closed","EventRegistration-350"
"AIDA Lundby mini qualification comp","https://events.aidainternational.org/EventDetails-2707","Pool Competition","Lundbybadet","Gothenburg, Sweden","2020-02-15","2020-02-15","Registration Closed","EventRegistration-347"
"AIDA Seanomad Mini Comp III","https://events.aidainternational.org/EventDetails-2697","Pool Competition","Pool Zdrave","Bankya (District Of Sofia), Bulgaria","2020-02-15","2020-02-15","Registration Closed","EventRegistration-342"
"AIDA Nizhny Novgorod Freediving Cup 2020","https://events.aidainternational.org/EventDetails-2712","Pool Competition","Uzhnoe","Nizhny Novgorod, Russian Federation","2020-02-14","2020-02-16","Registration Closed","EventRegistration-351"
"AIDA 1st Freediving Dynamic Challenge in Suzuka","https://events.aidainternational.org/EventDetails-2669","Pool Competition","三重交通gスポーツの杜鈴鹿水泳場","Mie, Japan","2020-02-11","2020-02-11","Registration Closed","EventRegistration-323"
"AIDA Free Diving Official Recording -Limited Dynamic Apnea-","https://events.aidainternational.org/EventDetails-2674","Pool Competition","辰巳国際水泳場","東京都, Japan","2020-02-11","2020-02-11","Registration Closed","EventRegistration-324"
"AIDA MOALBOAL POOL COMP 2020","https://events.aidainternational.org/EventDetails-2662","Pool Competition","Casa De Moalboal","Moalboal, Philippines","2020-02-09","2020-02-09","Registration Closed","EventRegistration-313"
"Continuous Education Course AIDA Latvia","https://events.aidainternational.org/EventDetails-2667","Continuous Education Course","Keizarmezs Sport Center","Riga, Latvia","2020-02-07","2020-02-07","",""
"AIDA Judge Course Moalboal Philippines","https://events.aidainternational.org/EventDetails-2659","Judge Course","Freediving Planet","Moalboal - Cebu, Philippines","2020-02-06","2020-02-09","",""
"AIDA Vallhalla mini dynamic challenge 2020","https://events.aidainternational.org/EventDetails-2700","Pool Competition","Valhallabadet","Gothenburg, Sweden","2020-02-05","2020-02-05","Registration Closed","EventRegistration-343"
"AIDA 17ème Indoor de La Ciotat","https://events.aidainternational.org/EventDetails-2679","Pool Competition","Piscine Jean Boiteux","La Ciotat, France","2020-02-02","2020-02-02","Registration Closed","EventRegistration-325"
"AIDA Freedive Munich Club Pool Competition 2020","https://events.aidainternational.org/EventDetails-2661","Pool Competition","Staatliche Berufliche Oberschule","80337 München, Germany","2020-02-01","2020-02-01","Registration Closed","EventRegistration-318"
"Dubai judge course","https://events.aidainternational.org/EventDetails-2702","Judge Course","Dubai","Dubai, United Arab Emirates","2020-01-30","2020-02-03","",""
